gmDate,seasTyp,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamAST/TO,teamSTL/TO,opptAbbr,opptConf,opptDiv,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO
2017-10-18,Regular,PHI,East,Atlantic,Away,Loss,115,25,17,6,6,28,94,43,0.4574,59,28,0.4746,35,15,0.4286,19,14,0.7368,11,37,48,48,58.1395,0.5617,0.5372,23.4043,69.8113,14.2426,5.7071,5.7071,10.1695,1.2234,82.125,68.4375,109.3864,114.1423,-4.7559,0.43,17.3178,1.4706,35.2941,WAS,East,Southeast,120,21,10,8,10,20,97,42,0.433,75,36,0.48,22,6,0.2727,38,30,0.7895,16,36,52,52,50,0.5276,0.4639,30.7692,69.2308,8.0828,7.6095,9.5119,13.3333,1.2371,95,79.1667,114.1423,109.3864,4.7559,0.4615,14.5108,2.1,80
2017-10-18,Regular,WAS,East,Southeast,Home,Win,120,21,10,8,10,20,97,42,0.433,75,36,0.48,22,6,0.2727,38,30,0.7895,16,36,52,52,50,0.5276,0.4639,30.1887,76.5957,8.0828,7.6095,9.5119,13.3333,1.2371,95,79.1667,114.1423,109.3864,4.7559,0.4615,14.5108,2.1,80,PHI,East,Atlantic,115,25,17,6,6,28,94,43,0.4574,59,28,0.4746,35,15,0.4286,19,14,0.7368,11,37,48,48,58.1395,0.5617,0.5372,22.9167,77.0833,14.2426,5.7071,5.7071,10.1695,1.2234,82.125,68.4375,109.3864,114.1423,-4.7559,0.43,17.3178,1.4706,35.2941
2017-10-18,Regular,MIL,East,Central,Away,Win,108,19,15,6,4,22,76,38,0.5,55,31,0.5636,21,7,0.3333,30,25,0.8333,6,39,45,51.1364,50,0.6054,0.5461,15.7895,78,14.3954,6.0381,4.0254,7.2727,1.4211,78,65.5462,108.6853,100.6345,8.0508,0.4471,15.4221,1.2667,40,BOS,East,Atlantic,100,23,15,12,2,27,91,39,0.4286,63,28,0.4444,28,11,0.3929,21,11,0.5238,11,32,43,48.8636,58.9744,0.4988,0.489,25.5814,74.4186,13.0163,12.0761,2.0127,3.1746,1.0989,67.375,56.1458,100.6345,108.6853,-8.0508,0.4105,16.6377,1.5333,80
2017-10-18,Regular,BOS,East,Atlantic,Home,Loss,100,23,15,12,2,27,91,39,0.4286,63,28,0.4444,28,11,0.3929,21,11,0.5238,11,32,43,48.8636,58.9744,0.4988,0.489,22,84.2105,13.0163,12.0761,2.0127,3.1746,1.0989,67.375,56.1458,100.6345,108.6853,-8.0508,0.4105,16.6377,1.5333,80,MIL,East,Central,108,19,15,6,4,22,76,38,0.5,55,31,0.5636,21,7,0.3333,30,25,0.8333,6,39,45,51.1364,50,0.6054,0.5461,13.3333,86.6667,14.3954,6.0381,4.0254,7.2727,1.4211,78,65.5462,108.6853,100.6345,8.0508,0.4471,15.4221,1.2667,40
2017-10-18,Regular,NO,West,Southwest,Away,Loss,91,15,19,4,12,31,79,30,0.3797,54,23,0.4259,25,7,0.28,29,24,0.8276,16,35,51,53.125,50,0.4959,0.4241,34.7826,70,17.1542,4.2205,12.6614,22.2222,1.1519,59.625,49.6875,96.016,108.6774,-12.6614,0.3659,11.9275,0.7895,21.0526,MEM,West,Southwest,103,19,12,9,8,29,92,39,0.4239,63,30,0.4762,29,9,0.3103,28,16,0.5714,15,30,45,46.875,48.7179,0.49370000000000003,0.4728,33.3333,66.6667,10.3164,9.4961,8.441,12.6984,1.1196,70.5,58.75,108.6774,96.016,12.6614,0.4382,14.0408,1.5833,75
2017-10-18,Regular,MEM,West,Southwest,Home,Win,103,19,12,9,8,29,92,39,0.4239,63,30,0.4762,29,9,0.3103,28,16,0.5714,15,30,45,46.875,48.7179,0.49370000000000003,0.4728,30,65.2174,10.3164,9.4961,8.441,12.6984,1.1196,70.5,58.75,108.6774,96.016,12.6614,0.4382,14.0408,1.5833,75,NO,West,Southwest,91,15,19,4,12,31,79,30,0.3797,54,23,0.4259,25,7,0.28,29,24,0.8276,16,35,51,53.125,50,0.4959,0.4241,31.3725,68.6275,17.1542,4.2205,12.6614,22.2222,1.1519,59.625,49.6875,96.016,108.6774,-12.6614,0.3659,11.9275,0.7895,21.0526
2017-10-18,Regular,ATL,East,Southeast,Away,Win,117,20,13,11,6,18,94,48,0.5106,76,39,0.5132,18,9,0.5,15,12,0.8,14,36,50,54.9451,41.6667,0.5815,0.5585,30.4348,80,11.4437,11.1027,6.056,7.8947,1.2447,96.875,80.3942,118.0921,112.0361,6.056,0.5161,14.9701,1.5385,84.6154,DAL,West,Southwest,111,27,16,5,4,19,86,38,0.4419,41,21,0.5122,45,17,0.3778,21,18,0.8571,9,32,41,45.0549,71.0526,0.5827,0.5407,21.9512,78.0488,14.3833,5.0467,4.0373,9.7561,1.2907,82.125,68.4375,112.0361,118.0921,-6.056,0.4086,19.5312,1.6875,31.25
2017-10-18,Regular,DAL,West,Southwest,Home,Loss,111,27,16,5,4,19,86,38,0.4419,41,21,0.5122,45,17,0.3778,21,18,0.8571,9,32,41,45.0549,71.0526,0.5827,0.5407,20,69.5652,14.3833,5.0467,4.0373,9.7561,1.2907,82.125,68.4375,112.0361,118.0921,-6.056,0.4086,19.5312,1.6875,31.25,ATL,East,Southeast,117,20,13,11,6,18,94,48,0.5106,76,39,0.5132,18,9,0.5,15,12,0.8,14,36,50,54.9451,41.6667,0.5815,0.5585,28,72,11.4437,11.1027,6.056,7.8947,1.2447,96.875,80.3942,118.0921,112.0361,6.056,0.5161,14.9701,1.5385,84.6154
2017-10-18,Regular,DEN,West,Northwest,Away,Loss,96,21,22,4,3,18,77,36,0.4675,50,23,0.46,27,13,0.4815,12,11,0.9167,7,31,38,51.3514,58.3333,0.5834,0.5519,18.9189,83.7838,21.097,4.1894,3.1421,6,1.2468,61,50.4132,100.5459,111.0194,-10.4735,0.3913,16.7625,0.9545,18.1818,UTA,West,Northwest,106,28,15,9,5,18,81,41,0.5062,57,32,0.5614,24,9,0.375,16,15,0.9375,6,30,36,48.6486,68.2927,0.602,0.5617,16.6667,83.3333,14.5575,9.4262,5.2368,8.7719,1.3086,85.75,71.1618,111.0194,100.5459,10.4735,0.4556,21.3675,1.8667,60
2017-10-18,Regular,UTA,West,Northwest,Home,Win,106,28,15,9,5,18,81,41,0.5062,57,32,0.5614,24,9,0.375,16,15,0.9375,6,30,36,48.6486,68.2927,0.602,0.5617,16.2162,81.0811,14.5575,9.4262,5.2368,8.7719,1.3086,85.75,71.1618,111.0194,100.5459,10.4735,0.4556,21.3675,1.8667,60,DEN,West,Northwest,96,21,22,4,3,18,77,36,0.4675,50,23,0.46,27,13,0.4815,12,11,0.9167,7,31,38,51.3514,58.3333,0.5834,0.5519,18.4211,81.5789,21.097,4.1894,3.1421,6,1.2468,61,50.4132,100.5459,111.0194,-10.4735,0.3913,16.7625,0.9545,18.1818
2017-10-18,Regular,MIN,West,Northwest,Away,Loss,99,23,13,7,4,16,85,37,0.4353,66,29,0.4394,19,8,0.4211,23,17,0.7391,11,31,42,45.6522,62.1622,0.5204,0.4824,22.449,72.093,12.0237,7.4099,4.2343,6.0606,1.1647,73.875,61.5625,104.7978,113.2663,-8.4685,0.4253,17.5412,1.7692,53.8462,SA,West,Southwest,107,22,11,8,11,18,89,41,0.4607,68,33,0.4853,21,8,0.381,19,17,0.8947,12,38,50,54.3478,53.6585,0.5495,0.5056,24,76,10.1513,8.4685,11.6442,16.1765,1.2022,94.625,78.8542,113.2663,104.7978,8.4685,0.4659,16.8763,2,72.7273
2017-10-18,Regular,SA,West,Southwest,Home,Win,107,22,11,8,11,18,89,41,0.4607,68,33,0.4853,21,8,0.381,19,17,0.8947,12,38,50,54.3478,53.6585,0.5495,0.5056,27.907,77.551,10.1513,8.4685,11.6442,16.1765,1.2022,94.625,78.8542,113.2663,104.7978,8.4685,0.4659,16.8763,2,72.7273,MIN,West,Northwest,99,23,13,7,4,16,85,37,0.4353,66,29,0.4394,19,8,0.4211,23,17,0.7391,11,31,42,45.6522,62.1622,0.5204,0.4824,26.1905,73.8095,12.0237,7.4099,4.2343,6.0606,1.1647,73.875,61.5625,104.7978,113.2663,-8.4685,0.4253,17.5412,1.7692,53.8462
2017-10-18,Regular,POR,West,Northwest,Away,Win,124,22,18,8,7,20,90,44,0.4889,66,30,0.4545,24,14,0.5833,28,22,0.7857,15,42,57,63.3333,50,0.6059,0.5667,39.4737,80.7692,14.9601,8.0232,7.0203,10.6061,1.3778,101.5,83.8843,124.3598,76.2205,48.1393,0.4731,15.4581,1.2222,44.4444,PHO,West,Pacific,76,10,16,9,8,22,89,28,0.3146,62,21,0.3387,27,7,0.2593,18,13,0.7222,10,23,33,36.6667,35.7143,0.3921,0.3539,30.303,69.697,14.1693,9.0261,8.0232,12.9032,0.8539,29.75,24.6888,76.2205,124.3598,-48.1393,0.2947,8.1354,0.625,56.25
