title,metacritic,rotten_tomatoes
The Hitcher,28,21
Adored,28,21.05
AVP: Alien vs. Predator,29,21
The Hot Chick,29,21.05
Crime + Punishment in Suburbia,32,21
Septem8er Tapes,32,21.05
Copperhead,34,21.05
The Glass House,34,21.1
Salvation Boulevard,35,21.1
Little Black Book,36,21.05
Honey,37,21
Son of God,37,21.05
Dirty,37,21.1
Girl Most Likely,38,21.1
From Prada to Nada,39,21
The Sitter,39,21.05
The Day the Earth Stood Still,40,21
Beastly,40,21.05
The Invisible Circus,40,21.1
Fred Claus,42,21.1
Star Trek V: The Final Frontier,43,21.05
Spread,43,21.1
Into the Storm,44,21
Into the Blue,45,21
The Deal,46,21
You Me and Dupree,46,21.05
Next Day Air,46,21.1
Semi-Pro,47,21
Elles,50,21
Congo,22,22
Pok?mon 3: The Movie,22,22.05
Sorority Row,24,22
Mr. Deeds,24,22.05
Enough,25,22
Time Changer,26,22
Coyote Ugly,27,22
Blood: The Last Vampire,28,22.05
The Tuxedo,30,22
The Smurfs,30,22.05
Lucky Numbers,31,22.1
Serving Up Richard,31,22.15
Looking for Palladin,34,22
The Eye,36,22.05
Little Nicky,38,22
The Pink Panther,38,22.05
Angels Crest,38,22.1
Cry_Wolf,39,22
Darling Companion,41,22
G-Force,41,22.05
Jiminy Glick in Lalawood,41,22.1
What to Expect When You're Expecting,41,22.15
Mad Money,41,22.2
Romeo & Juliet,41,22.25
Barnyard,42,22
Rapture-Palooza,44,22
Down and Derby,45,22
Welcome Home Roscoe Jenkins,46,22
The Simian Line,46,22.05
The Oh in Ohio,48,22
Vulgar,5,23
Ready to Rumble,23,23
See Spot Run,24,23
Peep World,27,23
Shirin in Love,29,23.05
Deuce Bigalow: Male Gigolo,30,23
Sonny,31,23
Saint John of Las Vegas,32,23.05
RV,33,23
Jeepers Creepers II,36,23.15
Dickie Roberts: Former Child Star,36,23.2
Flubber,37,23
Evan Almighty,37,23.05
Resident Evil: Afterlife,37,23.1
Balls of Fury,38,23
Think Like a Man Too,38,23.05
Angels Sing,39,23.05
Bulletproof Monk,40,23.05
The Day,41,23.05
Lucky,41,23.1
Dancing at the Blue Iguana,41,23.15
Home of the Brave,42,23
Devil's Knot,42,23.05
Freedomland,43,23
Cheaper by the Dozen,46,23
Slipstream,47,23
Hudson Hawk,17,24
Apollo 18,24,24
Filth and Wisdom,26,24
A Guy Thing,27,24
Snow Dogs,29,24
Domestic Disturbance,29,24.05
Masked and Anonymous,32,24
P.S. Your Cat Is Dead!,33,24
The Captive,33,24.05
Even Money,34,24
Loser,35,24
The Three Musketeers,35,24.05
Stateside,35,24.1
Conan the Barbarian,36,24
Serious Moonlight,36,24.05
Why Stop Now?,36,24.1
Goodbye World,36,24.15
Lady in the Water,36,24.2
Walking with Dinosaurs 3D,37,24
Jessabelle,37,24.05
God Is Great and I'm Not,37,24.1
The Samaritan,37,24.15
Gun Shy,42,24.05
Hope Floats,42,24.1
Lara Croft Tomb Raider: The Cradle of Life,43,24.05
Miss Meadows,43,24.1
The Dilemma,46,24
Failure to Launch,47,24.05
HairBrained,48,24
Digimon: The Movie,20,25.05
Tortilla Heaven,22,25
Now & Later,24,25
Falling Awake,24,25.05
Welcome to the Jungle,25,25
Showtime,32,25
Snipes,32,25.05
The Out-of-Towners,33,25
Isn't She Great,34,25.05
Don't Let Me Die on a Sunday,34,25.1
Friday the 13th,34,25.15
Refuge,34,25.2
Mansome,35,25.05
Friday After Next,35,25.1
Certifiably Jonathan,35,25.15
Hard Rain,36,25.05
Wolves,37,25.05
Fun Size,37,25.1
Reindeer Games,37,25.15
Wrath of the Titans,37,25.2
Never Die Alone,38,25.05
Confessions of a Shopaholic,38,25.1
Fame,39,25
Trap for Cinderella,39,25.05
Phantom,40,25
House of Wax,41,25.05
Hop,41,25.1
Four Christmases,41,25.15
The Chameleon,41,25.2
Drillbit Taylor,41,25.25
Awful Nice,42,25
The Princess Diaries 2: Royal Engagement,43,25
School for Scoundrels,44,25
El cantante,46,25
Black & White,47,25.05
Weather Girl,47,25.1
The Loss of a Teardrop Diamond,51,25
Kill the Poor,52,25
Booty Call,54,25
The Zodiac,21,26
The Million Dollar Hotel,25,26
The Best and the Brightest,26,26
2016: Obama's America,28,26
The Divide,28,26.05
Finding Bliss,30,26
The Sweetest Thing,32,26
Land of the Lost,32,26.05
Diamonds,33,26
Chelsea Walls,34,26
Ghosts of Girlfriends Past,34,26.05
Ghost Rider,35,26
Cradle 2 the Grave,36,26
Arthur,36,26.05
Blade: Trinity,38,26.05
Green Lantern,39,26
Planes,39,26.05
Bait,39,26.1
Brick Mansions,40,26.05
John Tucker Must Die,41,26
The Stepford Wives,42,26.1
Anamorph,43,26.1
Stomp the Yard,44,26
L!fe Happens,44,26.05
Mary Reilly,44,26.1
Along Came Polly,44,26.15
Hoot,46,26
The Legend of Zorro,47,26
Ready to Wear,48,26
Daddy's Little Girls,49,26
Free Zone,51,26
Rocky V,54,26
Running Free,22,27
Saving Lincoln,23,27
Hollow Man,24,27
Trixie,26,27
Burning Blue,29,27
Cost of a Soul,30,27.05
Your Highness,31,27
High School,31,27.05
21 & Over,34,27
Amy's Orgasm,36,27.05
Riding the Bullet,37,27
Analyze That,37,27.05
Waist Deep,37,27.1
Alvin and the Chipmunks,39,27.05
All the Rage,39,27.1
The Goods: Live Hard Sell Hard,39,27.15
Fantastic Four,40,27
Ash Wednesday,40,27.05
Splinterheads,41,27
Lost in Space,42,27
The Omen,43,27
Trust the Man,43,27.05
Dante's Peak,43,27.1
The Love Punch,44,27
Jobs,44,27.05
Bridget Jones: The Edge of Reason,44,27.1
Stay,48,27
The Favor,51,27
House of the Sleeping Beauties,21,28
House on Haunted Hill,28,28
Life or Something Like It,31,28.05
Gossip,31,28.1
Not Another Teen Movie,32,28
200 Cigarettes,33,28
Knife Fight,34,28.05
Happy Tears,35,28
The Story of Us,37,28.05
Daddy Day Care,39,28
Clash of the Titans,39,28.05
G.I. Joe: Retaliation,41,28
Bel Ami,42,28
Drive Me Crazy,42,28.05
Backwards,43,28
It Runs in the Family,44,28.05
How to Deal,45,28
Fat Girls,47,28
The Prince and Me,47,28.05
Sugar & Spice,48,28.05
Kingdom Come,48,28.1
Elektra Luxx,50,28
Once in the Life,52,28.05
The Taste of Money,53,28
Harold,10,29
Drowning Mona,25,29.05
Gamer,27,29
New in Town,29,29
The Final Destination,30,29.05
Pootie Tang,31,29.05
The Chaperone,33,29.1
Burning Palms,33,29.15
The Cup,33,29.2
Angels in Stardust,34,29
El Cortez,36,29
Deadgirl,36,29.05
Captain Corelli's Mandolin,36,29.1
O Fantasma,36,29.15
Let My People Go!,36,29.2
Annabelle,37,29.05
Two Jacks,38,29
Extraterrestrial,38,29.05
The Trouble with Bliss,38,29.1
12 Rounds,38,29.15
Burning Annie,38,29.2
Pompeii,39,29.05
Speedway Junky,40,29.15
Clockstoppers,40,29.2
Max Keeble's Big Move,40,29.25
Bubble Boy,41,29
Machete Kills,41,29.05
The Time Machine,42,29.05
Women in Trouble,43,29.05
Halloween 4: The Return of Michael Myers,43,29.1
Sympathy for Delicious,44,29
Club Dread,45,29
Girl in Progress,45,29.05
Peace Love & Misunderstanding,45,29.1
Anatomy 2,46,29.05
The Heartbreak Kid,46,29.1
Love Hurts,46,29.15
The Last of Robin Hood,46,29.2
The Open Road,47,29
Hey Arnold! The Movie,47,29.05
Jackpot,49,29
Lucky You,49,29.05
American Adobo,30,30
Big Momma's House,33,30
My Brother,33,30.05
Boys of Abu Ghraib,34,30
All About the Benjamins,34,30.05
Finding Home,34,30.1
Dreamcatcher,35,30.05
Be Cool,37,30.05
War Inc.,37,30.1
Nights in Rodanthe,39,30
Sanctum,42,30
Survival of the Dead,43,30.05
Teknolust,43,30.1
The Tempest,43,30.15
Perfect Sisters,44,30
I Am I,44,30.05
Hatsuj? kateiky?shi: sensei no aijiru,46,30
A Previous Engagement,46,30.05
Boarding Gate,47,30
Hollywood Homicide,47,30.05
Dominion: Prequel to the Exorcist,55,30
Date and Switch,56,30
The Keep,14,31
Crave,19,31.05
Backstage,29,31
Language of a Broken Heart,33,31
The Possession of Michael King,34,31
A Thousand Peace Clouds Encircle the Sky,35,31.05
Resident Evil: Retribution,39,31
St. Trinian's,39,31.05
The Sorcerer and the White Snake,41,31
Midnight Eagle,42,31
Aliens in the Attic,42,31.05
Pizza,42,31.1
Malibu's Most Wanted,43,31.05
Good Deeds,43,31.1
The Forgotten,43,31.15
Klimt,44,31
Head of State,44,31.05
America's Sweethearts,44,31.1
Home Fries,45,31
Intruders,45,31.05
Valiant,45,31.1
Breakin' All the Rules,46,31
28 Days,46,31.05
F/X2,48,31
Around the World in 80 Days,49,31
The Good Night,49,31.05
Poetic Justice,51,31
The Promise,53,31
Eye of the Dolphin,54,31
The Relic,55,31
Excess Baggage,34,32
Tamara,34,32.05
Undead,34,32.1
The Ward,38,32
Exit Wounds,39,32.05
The Numbers Station,39,32.1
At First Sight,40,32
Home of Phobia,41,32
Superstar,42,32
Tennessee,42,32.05
How Do You Know,46,32.1
The Tenants,46,32.15
A Teacher,47,32
November,47,32.05
The X Files: I Want to Believe,47,32.1
The Black Dahlia,49,32
For Colored Girls,50,32
All the Pretty Horses,55,32
A Woman a Gun and a Noodle Shop,57,32
The Objective,26,33
The Scribbler,27,33
5 Days of War,31,33
A Fantastic Fear of Everything,31,33.05
Loving Jezebel,33,33
Bert and Arnie's Guide to Friendship,34,33.1
The Babysitters,35,33
Escape from Planet Earth,35,33.05
The Other Brother,36,33
America So Beautiful,36,33.05
The Kid & I,37,33
Black Coffee,38,33
Just Visiting,38,33.05
Paul Blart: Mall Cop,39,33
Virtuosity,39,33.05
It's a Wonderful Afterlife,40,33
Alex Rider: Operation Stormbreaker,42,33
The Song,42,33.05
Malevolence,43,33
The Players,43,33.05
Bottled Up,43,33.1
Sherman's Way,43,33.15
Death by China,43,33.2
Girl 6,44,33
Lula the Son of Brazil,44,33.05
Joyful Noise,44,33.1
Beijing Love Story,44,33.15
Jefferson in Paris,45,33
The Break-Up,45,33.05
Matru ki Bijlee ka Mandola,46,33
Secret Society,47,33.05
The Good Guy,47,33.1
Every Day,48,33.05
Cheerful Weather for the Wedding,49,33.1
Texas Killing Fields,49,33.15
Poseidon,50,33
Blind Date,51,33.05
Morning Light,51,33.1
Mortal Kombat,58,33
What the #$*! Do We (K)now!?,38,34.05
Stage Fright,39,34
Bringing Down the House,39,34.05
World Traveler,39,34.1
Woman on Top,41,34.05
Battleship,41,34.1
Swerve,42,34
The Wolfman,43,34
Hall Pass,45,34
In the Cut,46,34
The In-Laws,46,34.05
The Oranges,46,34.1
The Counselor,48,34
Alien Trespass,48,34.05
Everybody Has a Plan,49,34
Passion,53,34
Exists,22,35
Summer in February,22,35.05
Games People Play: New York,32,35
G.I. Joe: The Rise of Cobra,32,35.05
Battle Los Angeles,37,35
P2,37,35.05
August,39,35.05
What a Girl Wants,41,35
Racing Stripes,43,35.05
Must Love Dogs,46,35
Reno 911!: Miami,47,35
Buffy the Vampire Slayer,48,35
Lola Versus,49,35
Duplex,50,35
Peeples,52,35
Diminished Capacity,54,35
Ask the Dust,58,35
Friended to Death,26,36
Haunt,33,36
Rambo III,36,36.05
Connected: An Autoblogography About Love Death & Technology,37,36
Michael,38,36
2 Fast 2 Furious,38,36.05
Standing Still,38,36.1
The Quiet Ones,41,36
Southland Tales,44,36
The Incredible Burt Wonderstone,44,36.05
Dog Park,46,36
95 Miles to Go,46,36.05
The Fast and the Furious: Tokyo Drift,46,36.1
Chicken Little,48,36
Preaching to the Choir,49,36
Scary Movie 3,49,36.05
Hatchet II,49,36.1
Prom,50,36
Eat Pray Love,50,36.05
Six Days Seven Nights,51,36
The Net,51,36.05
Cotton Mary,52,36.05
I Know What You Did Last Summer,52,36.1
LUV,52,36.15
Touchy Feely,53,36
Johnny Suede,53,36.05
Twins,53,36.1
Hyde Park on Hudson,55,36
Scream 3,56,36
Wassup Rockers,56,36.05
Blue Crush,61,36
Indecent Proposal,35,37
The Anarchist Cookbook,36,37
If I Didn't Care,37,37
Scary Movie 4,40,37
Beautiful Creatures,40,37.05
A Good Marriage,43,37
Dealin' with Idiots,43,37.05
Fantastic 4: Rise of the Silver Surfer,45,37
Open Windows,47,37.05
Mars Needs Moms,49,37
Nine,49,37.05
The Ten,50,37
Beauty Shop,53,37
You Don't Mess with the Zohan,54,37
Keeping Up with the Steins,57,37
The Fan,32,38
Eichmann,35,38
20 Dates,36,38.05
On_Line,36,38.1
Fakers,38,38
Tim and Eric's Billion Dollar Movie,40,38.05
Margaret Cho: Assassin,40,38.1
The Purge,41,38
Paranormal Activity: The Marked Ones,42,38
D.E.B.S.,42,38.05
The Abandoned,42,38.1
Firehouse Dog,43,38.05
Monte Carlo,43,38.1
Palmetto,43,38.15
Slap Her She's French!,44,38
Southie,44,38.05
Brief Interviews with Hideous Men,44,38.1
The Girl from Monday,45,38.15
23 Blast,45,38.2
Detention,45,38.25
Novocaine,45,38.3
Virgin,48,38
Admission,48,38.05
101 Dalmatians,49,38
Home,50,38.05
Child of God,50,38.1
Shit Year,50,38.15
Nobody Walks,51,38
Skateland,51,38.05
She's All That,51,38.1
The Brothers Grimm,51,38.15
Savage Grace,51,38.2
40 Days and 40 Nights,53,38
Xanadu,35,39
Martin Lawrence Live: Runteldat,40,39
Agent Cody Banks,41,39
Saawariya,44,39.05
[Rec] 3: Genesis,45,39.05
The Singing Detective,45,39.1
Full Grown Men,47,39
The Pirates Who Don't Do Anything: A VeggieTales Movie,49,39
2012,49,39.05
The Grudge,49,39.1
Here Comes the Devil,50,39
Finding Amanda,51,39
Days of Thunder,60,39
Fighting,61,39
Green Card Fever,31,40
Otto; or Up with Dead People,34,40
Ultrasuede: In Search of Halston,34,40.05
A Farewell to Fools,34,40.1
Beneath,34,40.15
Broken Sky,35,40
This Thing of Ours,36,40
Sweet Talk,37,40
Only God Forgives,37,40.05
Intoxicating,38,40
The Jimmy Show,39,40
The Girl from the Naked Eye,40,40
Joe Somebody,42,40
The Wendell Baker Story,44,40
Boomerang,45,40
The Possession,45,40.05
The Ringer,46,40
Red Tails,46,40.05
44 Inch Chest,47,40
Young Ones,47,40.05
Believe Me,48,40.05
Yelling to the Sky,48,40.1
My Super Ex-Girlfriend,50,40
Don McKay,50,40.05
The Night Listener,51,40
The Longshots,52,40.05
Nacho Libre,52,40.1
Snake Eyes,52,40.15
Imagine That,54,40
Vice,55,40
Going Shopping,56,40
The Lizzie McGuire Movie,56,40.05
The Secret Disco Revolution,56,40.1
Night at the Golden Eagle,32,41.05
Merci Dr Rey!,22,0.15
Hating Breitbart,29,0.1
Mountains Of The Moon,29,0.15
Venus and Mars,31,0.1
Stolen,34,0.15
Remember the Daze,36,0.15
Rage,43,0
A Little Bit of Heaven,14,4
6 Souls,28,4.15
Broken Bridges,32,5.05
Waiting for Forever,26,6.15
Hate Crime,41,6
Nitro Circus: The Movie,43,6
Nomad: The Warrior,49,6
Dragonfly,25,7.1
Red Roses and Petrol,33,7.05
Mrs. Winterbourne,35,7.1
Conversations with God,35,7.15
Kaena: The Prophecy,40,7
The Alien Girl,21,8.15
Out Cold,22,8
13,29,8.15
Gods and Generals,30,8.15
CBGB,30,8.2
Girl on a Bicycle,32,8.05
1911,37,8.05
Steve + Sky,44,8
Harlem Aria,20,9.1
Caught in the Web,37,9
The Dust Factory,48,9
The Best of Me,29,10.05
Grown Ups,30,10
The Wedding Date,32,10.05
Kung Pow: Enter the Fist,14,11
A Night at the Roxbury,26,11
Th?r?se: The Story of Saint Th?r?se of Lisieux,27,11.1
Lake City,29,11.15
A Man Apart,36,11.1
In the Face of Evil: Reagan's War in Word and Deed,39,11
One Last Thing...,44,11
Neighbour No. 13,49,11
Walk of Shame,25,12.05
I Melt with You,26,12.15
Let's Go to Prison,27,12.15
The Aryan Couple,29,12.1
The Right Kind of Wrong,30,12.05
The Mortal Instruments: City of Bones,33,12.2
Original Sin,33,12.25
Safe Haven,34,12.15
Sphere,35,12.05
After Fall Winter,19,13.1
Bigger Than the Sky,21,13.05
The Ugly Truth,28,13.2
L.A. Twister,29,13.25
Winter's Tale,31,13.1
The Rising Place,32,13.2
Day of the Falcon,32,13.25
W.E.,37,13.15
Facing the Giants,38,13.05
London,24,14.1
American Outlaws,25,14.15
47 Ronin,28,14.2
Deception,31,14.1
Blended,31,14.15
Beyond Borders,32,14.15
Uptown Girls,33,14.2
The Ledge,34,14.2
Mirrors,35,14.1
Seven Days in Utopia,37,14.1
I Now Pronounce You Chuck & Larry,37,14.15
Double Parked,38,14.05
Hansel & Gretel: Witch Hunters,21,15
Barefoot,22,15
The Condemned,23,15
Dead Man on Campus,27,15.15
How to Rob a Bank,27,15.2
Third World Cop,28,15.1
Endless Love,30,15.05
Hounddog,31,15
Open Grave,33,15.1
Hannibal Rising,35,15.15
The Jackal,36,15
Special Forces,37,15.05
Head in the Clouds,40,15
The Affair of the Necklace,42,15
The Amateurs,45,15
Smile,47,15
Legends of Oz: Dorothy's Return,25,16.05
Pok?mon Heroes,27,16
Sweet November,27,16.05
Eating Out,28,16.05
Idle Hands,31,16.15
An American Affair,31,16.2
Untraceable,32,16.05
Jumper,35,16.05
Underworld: Evolution,36,16.2
Crossing Over,38,16.05
Twist,39,16.05
Eating Out: All You Can Eat,24,17.15
Revolver,25,17.1
Badland,30,17.15
Land of the Blind,32,17
Flypaper,37,17.15
Legendary,39,17.05
Sleepwalking,40,17
Ride Along,41,17
Jailbait,41,17.05
Renaissance Man,44,17
Miral,45,17.05
Grumpier Old Men,46,17
Where's Marlowe?,47,17
Lock Up,52,17
I Do,23,18
Van Wilder: Party Liaison,26,18
Let's Be Cops,30,18.1
For Greater Glory: The True Story of Cristiada,35,18.1
Parental Guidance,36,18.1
The Art of Getting By,36,18.15
After the Sunset,38,18.25
Confusion of Genders,39,18.05
Video Games: The Movie,40,18.05
Princess Kaiulani,41,18
When the Game Stands Tall,41,18.05
Trapped,42,18
My Best Enemy,43,18.05
Rush Hour 3,44,18
The Elephant King,46,18
Gentlemen Broncos,28,19.1
Bunraku,28,19.15
House of 1000 Corpses,31,19.1
Just Go with It,33,19.1
Transformers: Revenge of the Fallen,35,19.2
Very Good Girls,35,19.25
Loosies,35,19.3
Righteous Kill,36,19.1
Shottas,36,19.15
10th & Wolf,36,19.2
Blow Dry,38,19.15
One Night with the King,38,19.2
Transcendence,42,19
The Beach,43,19
Two Weeks,44,19
Factory Girl,45,19.1
Step Up,48,19
Blue Moon,29,20.05
Knockaround Guys,30,20.1
Fireflies in the Garden,34,20
The Invisible,36,20.15
Death Sentence,36,20.2
The Tourist,37,20.15
High Heels and Low Lifes,39,20.05
The Lucky One,39,20.1
Duets,40,20.1
Better Living Through Chemistry,40,20.15
Derailed,40,20.2
Next Friday,41,20.05
La mujer de mi hermano,41,20.1
Nina's Heavenly Delights,44,20.05
Craigslist Joe,45,20.1
Practical Magic,46,20.05
The Quiet,29,21.1
The 24th Day,29,21.15
Meet Bill,30,21
Oh My God,30,21.05
Leap Year,33,21.05
Dead Silence,34,21.15
A Long Way Down,34,21.2
Basic,34,21.25
Flakes,35,21.15
Resident Evil: Apocalypse,35,21.2
The Rite,38,21.15
Empire,38,21.2
A Dog of Flanders,38,21.25
Arthur and the Invisibles,39,21.1
Planet 51,39,21.15
Man of the Year,39,21.2
Dust,41,21.05
Johnny Got His Gun,41,21.1
Snow Flower and the Secret Fan,42,21.15
Catch and Release,43,21.15
360,43,21.2
Taken 2,45,21.05
Frankie & Alice,47,21.05
8MM,19,22
9 Dead Gay Guys,21,22
Case 39,25,22.05
Rushlights,25,22.1
Stigmata,28,22.1
Teenage Mutant Ninja Turtles,31,22.2
Repo Men,32,22
October Baby,32,22.05
Impostor,33,22
The Baytown Outlaws,33,22.05
Radio Free Albemuth,35,22
Gimme Shelter,37,22.05
Taking Lives,38,22.15
Joshua,38,22.2
Dirty Dancing: Havana Nights,39,22.05
Need for Speed,39,22.1
Never Back Down,39,22.15
Lana's Rain,40,22
Marilyn Hotchkiss' Ballroom Dancing & Charm School,40,22.05
Resident Evil: Extinction,41,22.3
Violet & Daisy,43,22
In My Country,44,22.05
Manna from Heaven,45,22.05
Shoot on Sight,45,22.1
Country Strong,45,22.15
Typhoon,46,22.1
The General's Daughter,47,22
Formula 17,49,22
Two for the Money,50,22
Three Stars,56,22
The Boondock Saints II: All Saints Day,24,23.05
Patch Adams,25,23
Fired Up!,31,23.05
The Amityville Horror,33,23.05
Sucker Punch,33,23.1
Awake,33,23.15
What's Your Number?,35,23.05
Push,36,23.25
That Awkward Moment,36,23.3
Who Is Cletis Tout?,36,23.35
Third Person,37,23.15
Raising Helen,38,23.1
Bad Boys II,38,23.15
Nightwatch,40,23.1
Dracula Untold,40,23.15
The Decoy Bride,42,23.1
The Raven,44,23
4 Minute Mile,48,23
Empire Records,30,24
Antitrust,31,24
Gone in Sixty Seconds,35,24.15
Event Horizon,35,24.2
Don't Say a Word,38,24
The Life Before Her Eyes,38,24.05
The Other Woman,39,24.05
Day Zero,41,24
Jesus Henry Christ,41,24.05
Little Ashes,41,24.1
King of the Jungle,45,24.05
The Statement,45,24.1
Autumn,46,24.05
Fierce People,54,24
Formula 51,23,25
Assault on Wall Street,24,25.1
Sex and Death 101,24,25.15
Letters to God,31,25
Bedtime Stories,33,25.05
Mindhunters,33,25.1
Kill Me Later,34,25.25
Lost River,35,25.2
Dumb and Dumber To,36,25.1
The Change-Up,39,25.1
Till Human Voices Wake Us,39,25.15
Dot the I,39,25.2
Double Jeopardy,40,25.05
Act of Valor,40,25.1
Zerophilia,41,25.3
Pearl Harbor,44,25.05
Walking Tall,44,25.1
Plunkett & Macleane,44,25.15
Killer Elite,44,25.2
The Da Vinci Code,46,25.05
Halloween,47,25.15
Hotel de Love,47,25.2
The Lost City,47,25.25
A Good Year,47,25.3
The Whore's Son,49,25
Elsa & Fred,49,25.05
Claire Dolan,56,25
The Adventures of Ford Fairlane,24,26
Nobel Son,28,26.1
Jamesy Boy,29,26.05
This Means War,31,26
Swordfish,32,26.1
Erased,34,26.1
Ninja Assassin,34,26.15
After.Life,36,26.1
Poster Boy,36,26.15
The Mostly Unfabulous Social Life of Ethan Green,38,26.1
Underworld: Awakening,39,26.15
War of the Buttons,40,26.1
Love in the Time of Cholera,43,26.15
Eagle Eye,43,26.2
The Final Season,43,26.25
A Slipping-Down Life,44,26.2
Bobby Jones: Stroke of Genius,45,26
The Game of Their Lives,47,26.05
Julien Donkey-Boy,52,26
I Woke Up Early the Day I Died,14,27
Love Honor and Obey,23,27.05
How High,29,27.05
Punisher: War Zone,30,27.1
33 Postcards,33,27
Play the Game,35,27
What Happens in Vegas,36,27.1
The Search,36,27.15
Charlie St. Cloud,37,27.15
Dirty Girl,37,27.2
As Above So Below,38,27
Seeking Justice,38,27.05
Sweetwater,38,27.1
Beer League,40,27.1
Stay,41,27.05
Paycheck,43,27.15
Instinct,43,27.2
Colombiana,45,27.05
Upside Down,45,27.1
What the Bleep!?: Down the Rabbit Hole,45,27.15
Fast & Furious,45,27.2
Evening,45,27.25
Lions for Lambs,47,27
U.S. Marshals,47,27.05
Step Up 2: The Streets,50,27
Pandorum,28,28.05
Drift,35,28.05
Three to Tango,36,28
Adventures of Power,39,28.1
Life as We Know It,39,28.15
Deliver Us from Evil,40,28
Struck by Lightning,41,28.05
Next,42,28.1
The Family,42,28.15
Take Me Home Tonight,42,28.2
Love the Hard Way,42,28.25
Dear John,43,28.05
The Game Plan,44,28.1
Takers,45,28.05
Elizabethtown,45,28.1
Extraordinary Measures,45,28.15
The Bone Collector,45,28.2
Around the Bend,46,28
Saw III,48,28.15
Project X,48,28.2
Broken City,49,28
Copying Beethoven,59,28
Half Baked,16,29
Tideland,26,29
Zen Noir,27,29.05
The Other Sister,28,29.05
Noel,29,29.05
Silent Hill,30,29.1
Charlie Countryman,31,29.1
The Punisher,33,29.25
Grudge Match,35,29
Red Lights,36,29.25
No Such Thing,36,29.3
Party Monster,36,29.35
Last Love,36,29.4
The Other Side of Heaven,38,29.25
The Chronicles of Riddick,38,29.3
Provoked: A True Story,39,29.1
The Hunted,40,29.3
3 Days to Kill,40,29.35
Jakob the Liar,40,29.4
Shrink,40,29.45
Kick-Ass 2,41,29.1
House in the Alley,42,29.1
Madison,43,29.15
The Vow,43,29.2
Machine Gun Preacher,43,29.25
Gaudi Afternoon,44,29.05
Halloween II,44,29.1
Underworld: Rise of the Lycans,44,29.15
The Warrior's Way,45,29.15
Smokin' Aces,45,29.2
Cantinflas,45,29.25
Fun with Dick and Jane,47,29.1
Dangerous Minds,47,29.15
Moog,51,29
Don't Tell,52,29
The Collector,29,30
The Big White,31,30
Let It Ride,33,30.1
Who Killed Nancy?,35,30.1
The Brass Teapot,39,30.05
Porky's,40,30
The Sisters,40,30.05
Sarah Palin: You Betcha!,41,30
Austenland,42,30.05
Reincarnated,42,30.1
A Bird of the Air,42,30.15
Total Recall,43,30.2
Youth Without Youth,43,30.25
The Answer Man,44,30.1
Chaos Theory,44,30.15
Crazy in Alabama,46,30.1
Kiss the Girls,46,30.15
Flight of the Phoenix,47,30.1
The Hawk Is Dying,48,30
The Saint,50,30.05
Hook,52,30
Goya's Ghosts,52,30.05
The Messenger: The Story of Joan of Arc,54,30
Herbie Hancock: Possibilities,54,30.05
Never Again,30,31
Waiting...,30,31.05
Kedma,36,31
Adore,37,31
The Lone Ranger,37,31.05
The Good Heart,40,31.1
Wet Hot American Summer,42,31.15
The Uninvited,43,31.2
The Girl and Death,44,31.15
Brokedown Palace,44,31.2
Vatel,44,31.25
The Hottest State,45,31.15
The Longest Yard,48,31.05
Emperor,48,31.1
Inventing the Abbotts,49,31.1
A Man's Story,51,31.05
The Monuments Men,52,31
Running with Scissors,52,31.05
The Devil's Own,53,31.05
Stick It,53,31.1
Very Annie Mary,33,32
Eulogy,34,32.15
Lullaby,35,32
The Expendables 3,35,32.05
Men Women & Children,37,32
Message in a Bottle,39,32.15
Man on a Ledge,40,32.05
Gangster Squad,40,32.1
Wild Target,41,32.05
Along Came a Spider,42,32.1
Anna,42,32.15
The Lovely Bones,42,32.2
The Closer You Get,44,32
Two Night Stand,44,32.05
Click,45,32.05
Fanboys,45,32.1
Pretty Persuasion,45,32.15
King Arthur,46,32.2
Trudell,48,32
Charlotte Gray,48,32.05
Hit and Runway,48,32.1
Tristan + Isolde,49,32.05
Imagine Me & You,49,32.1
Fur: An Imaginary Portrait of Diane Arbus,50,32.05
Windtalkers,51,32.05
The Baxter,51,32.1
Deadfall,52,32
Bomb the System,52,32.05
All Good Things,57,32.05
Gummo,19,33
The Mating Habits of the Earthbound Human,26,33.05
Imagining Argentina,27,33.05
Eban and Charley,30,33
Price of Glory,32,33
Resident Evil,33,33.05
15 Minutes,34,33.15
Flashdance,35,33.1
I Am Number Four,36,33.1
Best Man Down,36,33.15
Final Destination,36,33.2
Fools Rush In,37,33.05
Aut›mata,37,33.1
O Jerusalem,39,33.1
Good,40,33.05
2009: Lost Memories,40,33.1
Butter,40,33.15
Knowing,41,33
Mambo italiano,41,33.05
The Intended,42,33.1
Won't Back Down,42,33.15
The 13th Warrior,42,33.2
Not Easily Broken,43,33.25
The Very Thought of You,43,33.3
A Million Ways to Die in the West,44,33.2
A Good Old Fashioned Orgy,44,33.25
Sexual Dependency,44,33.3
The Libertine,44,33.35
Rails & Ties,44,33.4
Delhi-6,45,33.1
Ace Ventura: When Nature Calls,45,33.15
Pirates of the Caribbean: On Stranger Tides,45,33.2
Odd Thomas,45,33.25
One Night at McCool's,46,33.05
Burke and Hare,46,33.1
The Exorcism of Emily Rose,46,33.15
Things to Do in Denver When You're Dead,46,33.2
Tano da morire,47,33.15
Flyboys,47,33.2
