title,metacritic,rotten_tomatoes
Ouija,38,7
Nothing Left to Fear,12,8
Don Peyote,14,8.05
Extreme Ops,17,8.05
A Haunted House 2,17,8.1
Turn It Up,18,8
The Wash,18,8.05
Valentine,18,8.1
Summer Catch,21,8
Undiscovered,29,8
Drive Hard,29,8.05
The Babymakers,30,8
First Daughter,31,8.05
Chlorine,33,8
Miss Conception,33,8.05
Knock Off,37,8
Urban Legends: Final Cut,16,9
Ultraviolet,18,9
Species II,19,9
Virus,19,9.05
Say It Isn't So,21,9.05
Dark House,22,9
Deuce Bigalow: European Gigolo,23,9
Darkness Falls,23,9.05
Captivity,24,9
Happiness Runs,24,9.05
The Comebacks,25,9
My Soul to Take,25,9.05
Eye of the Beholder,29,9
Marmaduke,30,9
Name,33,9
ATM,34,9
Supernova,19,10.1
Branded,20,10
Wing Commander,21,10
Juwanna Mann,24,10
Fish Without a Bicycle,26,10
Taxi,27,10
Vampire in Brooklyn,27,10.05
Pulse,27,10.1
And Now a Word from Our Sponsor,33,10
About Cherry,33,10.05
The Grudge 2,33,10.1
Elektra,34,10
Megiddo: The Omega Code 2,35,10
I Will Follow You Into the Dark,12,11
Freddy Got Fingered,13,11
An American Carol,20,11.05
Hoodwinked Too! Hood vs. Evil,20,11.1
Highlander: Endgame,21,11.05
Jinn,24,11
Venom,25,11.05
Are We There Yet?,27,11
The Musketeer,27,11.05
The Unborn,30,11.05
Hit by Lightning,31,11.05
New York Minute,33,11
Paris Countdown,35,11
Crocodile Dundee in Los Angeles,37,11
Celsius 41.11: The Temperature at Which the Brain... Begins to Die,42,11
Breaking the Girls,42,11.05
Side Effects,46,11
The Darkest Hour,16,12
Halloween: Resurrection,19,12
Alvin and the Chipmunks: Chipwrecked,24,12
Littleman,26,12
The Salon,26,12.05
Delgo,27,12
Did You Hear About the Morgans?,27,12.05
Aliens vs. Predator: Requiem,29,12
Jonah Hex,33,12
Hanging Up,33,12.05
The Girl,34,12
Cold Creek Manor,37,12
Holy Man,41,12
Whipped,10,13
Fair Game,13,13
Book of Shadows: Blair Witch 2,15,13
Carpool,15,13.05
Locker 13,22,13
The Women,27,13
McCanick,28,13
Boogeyman,32,13
Agent Cody Banks 2: Destination London,32,13.05
Confessions of a Teenage Drama Queen,33,13
Town & Country,34,13
The Haunted Mansion,34,13.05
Yogi Bear,35,13
College Road Trip,36,13
Our Family Wedding,38,13
Jack & Diane,45,13
Excuse Me for Living,17,14
Soldiers of Fortune,19,14
South of Heaven West of Hell,22,14
Driven,29,14
Swimfan,29,14.05
Cats & Dogs: The Revenge of Kitty Galore,30,14
Jake Squared,30,14.05
The Spirit,30,14.1
Black Knight,32,14
State Property 2,33,14
Skinwalkers,33,14.05
Chasing Papi,33,14.1
Baggage Claim,34,14
The Pact II,37,14
The Young Unknowns,43,14
Spinning Into Butter,20,15
Skyline,26,15
Temptation: Confessions of a Marriage Counselor,26,15.05
Sex and the City 2,27,15
Garfield,27,15.05
A Glimpse Inside the Mind of Charles Swan III,28,15
The Santa Clause 3: The Escape Clause,32,15
Year One,34,15
Miss Congeniality 2: Armed and Fabulous,34,15.05
The Moth Diaries,38,15
Not Forgotten,48,15
Left Behind,22,16
The Single Moms Club,31,16
The Perfect Holiday,32,16
Superhero Movie,33,16
Abandon,36,16
xXx: State of the Union,37,16
Underdog,37,16.05
The Return,38,16
The Big Bounce,42,16
Get Rich or Die Tryin',45,16
Shark Night 3D,22,17
Ironclad: Battle for Blood,22,17.05
Sun Kissed,24,17
God Sex & Apple Pie,29,17
The Marc Pease Experience,30,17
Rites of Spring,33,17
Hair Show,34,17
Wild Wild West,38,17
I Don't Know How She Does It,38,17.05
Twelve Thirty,50,17
Supercapitalist,22,18
Ghost Rider: Spirit of Vengeance,32,18
Soul Plane,33,18
Devil's Due,34,18
The Wait,34,18.05
Allegiance,35,18
Showgirls,16,19
I Hate Valentine's Day,17,19
Girls Against Boys,17,19.05
The Next Best Thing,25,19
Obsessed,25,19.05
Boxing Helena,26,19
Tyler Perry's A Madea Christmas,28,19
New Rose Hotel,31,19
On the Line,34,19
Motherhood,34,19.05
Primeval,35,19
Thunderbirds,36,19
Fly Me to the Moon 3D,36,19.05
Judy Moody and the Not Bummer Summer,37,19
Dark Streets,38,19
Lay the Favorite,38,19.05
Two of a Kind,5,20
Jason X,25,20
Woman Thou Art Loosed: On the 7th Day,29,20
Iceman,30,20
Monkeybone,40,20
Cold Turkey,42,20
Mighty Fine,42,20.05
Meet Dave,43,20.05
The Marine,45,20
The Card Player,48,20
The Gospel According to Philip K. Dick,27,21
Gulliver's Travels,33,21
Scooby-Doo 2: Monsters Unleashed,34,21
Paradise,35,21
Ghosts of Mars,35,21.05
Inspector Gadget,36,21
The Flintstones,38,21
April's Shower,38,21.05
Alvin and the Chipmunks: The Squeakquel,41,21
Bones,42,21
Madea's Witness Protection,42,21.05
Eternal,43,21
Even Cowgirls Get the Blues,28,22
The Black Waters of Echo's Pond,31,22
6 Month Rule,31,22.05
3-D Sex and Zen: Extreme Ecstasy,36,22
Losin' It,51,22
Vehicle 19,29,23
Rape Me,35,23
Biker Boyz,36,23.1
Fat Albert,39,23
Wirey Spindell,15,24
Tammy,39,24
Paranormal Activity 4,40,24
G,42,24
9 Songs,43,24
The Twilight Saga: Breaking Dawn - Part 1,45,24
At the Devil's Door,47,24
Absence,20,25
Inside Out,28,25
Bewitched,34,25
The Guillotines,35,25
Tony 'n' Tina's Wedding,36,25
Girl Play,37,25
Mr. Jones,38,25
Simpatico,41,25
Madea's Family Reunion,45,25.05
Alien Abduction,47,25
Autoerotic,48,25
Anatomy of Hell,29,26
Nutty Professor II: The Klumps,38,26
Anacondas: The Hunt for the Blood Orchid,40,26
Breakfast of Champions,42,26
Superman III,42,26.05
Why Did I Get Married Too?,43,26
The Shaggy Dog,43,26.05
A Day Without a Mexican,30,27
The Maid's Room,39,27
The People I've Slept With,45,27
Snow Day,34,28
Ass Backwards,37,28
The Twilight Saga: New Moon,44,28
